pattern_id,language,layout,psm,requested_ratio,method,effective_ratio_x,effective_ratio_y,integer_bin_factor,source_path,source_sha256,output_path,output_sha256,font_path,font_index,font_size,target_output_glyph_height,target_source_glyph_height,source_max_glyph_height,source_height_error,output_max_glyph_height,glyph_height_warning,reference,prediction,normalized_reference,normalized_prediction,edit_distance,reference_chars,cer,ocr_seconds,status,error
en_char_a,en,single_char,10,1.0,bin_floor,1.0,1.0,1,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/bin_floor/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.0935709350005709,ok,
en_char_a,en,single_char,10,1.0,bin_ceil,1.0,1.0,1,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/bin_ceil/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.06276812399937626,ok,
en_char_a,en,single_char,10,1.0,opencv_bilinear,1.0,1.0,,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/opencv_bilinear/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.06497539700012567,ok,
en_char_a,en,single_char,10,1.0,lanczos2_7tap_16phase,1.0,1.0,,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/lanczos2_7tap_16phase/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.06379552199996397,ok,
en_char_a,en,single_char,10,1.0,lanczos3_7tap_16phase,1.0,1.0,,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/lanczos3_7tap_16phase/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.06347725100022217,ok,
en_char_a,en,single_char,10,1.133333333333,bin_floor,1.0,1.0,1,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/bin_floor/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,18,False,A,"A
",A,A,0,1,0.0,0.06590719599989825,ok,
en_char_a,en,single_char,10,1.133333333333,bin_ceil,2.0,2.0,2,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/bin_ceil/en_char_a/r_1p133333.png,3d29a8513c032c4d53655ada2a21fa25aefee28670419c4bbea69e28fad09e82,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,9,False,A,"A
",A,A,0,1,0.0,0.06432220300030167,ok,
en_char_a,en,single_char,10,1.133333333333,opencv_bilinear,1.125,1.125,,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/opencv_bilinear/en_char_a/r_1p133333.png,b42297b70614a21426e4a37396c1a59464d08a4babfc979461b65533bef00a5c,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,16,False,A,"A
",A,A,0,1,0.0,0.06513140900005965,ok,
en_char_a,en,single_char,10,1.133333333333,lanczos2_7tap_16phase,1.125,1.125,,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/lanczos2_7tap_16phase/en_char_a/r_1p133333.png,11368bb7f31137d7185effca1d9f0722ade8a6df573540395e3a02d9e79f5b3c,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,18,True,A,"A
",A,A,0,1,0.0,0.06338705799953459,ok,
en_char_a,en,single_char,10,1.133333333333,lanczos3_7tap_16phase,1.125,1.125,,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/lanczos3_7tap_16phase/en_char_a/r_1p133333.png,3fe7597581b13cfbb3e401a542b70d542c942e386007e876f78b8d357b1a460a,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,16,False,A,"A
",A,A,0,1,0.0,0.06371512900022935,ok,
en_char_a,en,single_char,10,1.266666666667,bin_floor,1.0,1.0,1,canonical/en_char_a/r_1p266667.png,dc8af654cb8e2577054e3d6232a3289210ed8f41a66e789efaf4098d97d9daff,resized/bin_floor/en_char_a/r_1p266667.png,dc8af654cb8e2577054e3d6232a3289210ed8f41a66e789efaf4098d97d9daff,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,31,16,20.266666666672,20,-0.26666666667199834,20,False,A,"A
",A,A,0,1,0.0,0.06371583700001793,ok,
en_char_a,en,single_char,10,1.266666666667,bin_ceil,2.0,2.0,2,canonical/en_char_a/r_1p266667.png,dc8af654cb8e2577054e3d6232a3289210ed8f41a66e789efaf4098d97d9daff,resized/bin_ceil/en_char_a/r_1p266667.png,953a1b5bcd9bc293275e72acdc9d4991c48c4dfb65bcfb36e551b260d5fe7c76,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,31,16,20.266666666672,20,-0.26666666667199834,10,False,A,"A
",A,A,0,1,0.0,0.06402346499999112,ok,
en_char_a,en,single_char,10,1.266666666667,opencv_bilinear,1.2765957446808511,1.2765957446808511,,canonical/en_char_a/r_1p266667.png,dc8af654cb8e2577054e3d6232a3289210ed8f41a66e789efaf4098d97d9daff,resized/opencv_bilinear/en_char_a/r_1p266667.png,745b175d99cd8c078678ace44f9f49abb96179a5d2cc37d1c471da9b1312b350,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,31,16,20.266666666672,20,-0.26666666667199834,17,False,A,"A
",A,A,0,1,0.0,0.0659536470002422,ok,
en_char_a,en,single_char,10,1.266666666667,lanczos2_7tap_16phase,1.2765957446808511,1.2765957446808511,,canonical/en_char_a/r_1p266667.png,dc8af654cb8e2577054e3d6232a3289210ed8f41a66e789efaf4098d97d9daff,resized/lanczos2_7tap_16phase/en_char_a/r_1p266667.png,c48b196080a57d26a174a314b1b2d769975038ea612bb6ddc7d55675dd8ffdd0,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,31,16,20.266666666672,20,-0.26666666667199834,17,False,A,"A
",A,A,0,1,0.0,0.06399243500072771,ok,
en_char_a,en,single_char,10,1.266666666667,lanczos3_7tap_16phase,1.2765957446808511,1.2765957446808511,,canonical/en_char_a/r_1p266667.png,dc8af654cb8e2577054e3d6232a3289210ed8f41a66e789efaf4098d97d9daff,resized/lanczos3_7tap_16phase/en_char_a/r_1p266667.png,fa8b54bc5feac46fb329b36d10fdf4812409e0fed2e3e1e6e76c8c1ad73e1688,/home/karan/ocr_study/fonts/Consolas-Regular.ttf,0,31,16,20.266666666672,20,-0.26666666667199834,17,False,A,"A
",A,A,0,1,0.0,0.0669593820002774,ok,
