pattern_id,language,layout,psm,requested_ratio,method,effective_ratio_x,effective_ratio_y,integer_bin_factor,source_path,source_sha256,output_path,output_sha256,font_path,font_index,font_size,target_output_glyph_height,target_source_glyph_height,source_max_glyph_height,source_height_error,output_max_glyph_height,glyph_height_warning,reference,prediction,normalized_reference,normalized_prediction,edit_distance,reference_chars,cer,ocr_seconds,status,error
en_char_a,en,single_char,10,1.0,bin_floor,1.0,1.0,1,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/bin_floor/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.06604287499794737,ok,
en_char_a,en,single_char,10,1.0,bin_ceil,1.0,1.0,1,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/bin_ceil/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.05735637499310542,ok,
en_char_a,en,single_char,10,1.0,opencv_bilinear,1.0,1.0,,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/opencv_bilinear/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.056954416999360546,ok,
en_char_a,en,single_char,10,1.0,lanczos2_7tap_16phase,1.0,1.0,,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/lanczos2_7tap_16phase/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.0613507079979172,ok,
en_char_a,en,single_char,10,1.0,lanczos3_7tap_16phase,1.0,1.0,,canonical/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,resized/lanczos3_7tap_16phase/en_char_a/r_1p000000.png,ce251f8375496e6842dac32071eac5d2a7b98150e8e050a988cd343a03ffad9a,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,25,16,16.0,16,0.0,16,False,A,"A
",A,A,0,1,0.0,0.05903087499609683,ok,
en_char_a,en,single_char,10,1.133333333333,bin_floor,1.0,1.0,1,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/bin_floor/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,18,False,A,"A
",A,A,0,1,0.0,0.058348874998046085,ok,
en_char_a,en,single_char,10,1.133333333333,bin_ceil,2.0,2.0,2,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/bin_ceil/en_char_a/r_1p133333.png,3d29a8513c032c4d53655ada2a21fa25aefee28670419c4bbea69e28fad09e82,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,9,False,A,"A
",A,A,0,1,0.0,0.059446166997076944,ok,
en_char_a,en,single_char,10,1.133333333333,opencv_bilinear,1.125,1.125,,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/opencv_bilinear/en_char_a/r_1p133333.png,073f46e86aeafe9de8ecaeeb0b921c3028c9152090d5c736121dc4f98a88a584,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,16,False,A,"A
",A,A,0,1,0.0,0.06490195900551043,ok,
en_char_a,en,single_char,10,1.133333333333,lanczos2_7tap_16phase,1.125,1.125,,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/lanczos2_7tap_16phase/en_char_a/r_1p133333.png,11368bb7f31137d7185effca1d9f0722ade8a6df573540395e3a02d9e79f5b3c,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,18,True,A,"A
",A,A,0,1,0.0,0.05920954099565279,ok,
en_char_a,en,single_char,10,1.133333333333,lanczos3_7tap_16phase,1.125,1.125,,canonical/en_char_a/r_1p133333.png,01778b143fac4b751d58e27c4b0ee2172de620ad6acd9a594852f0cb0d56cd5f,resized/lanczos3_7tap_16phase/en_char_a/r_1p133333.png,3fe7597581b13cfbb3e401a542b70d542c942e386007e876f78b8d357b1a460a,/Users/karankapur/ocr_expt/fonts/Consolas-Regular.ttf,0,28,16,18.133333333328,18,-0.13333333332800024,16,False,A,"A
",A,A,0,1,0.0,0.06324958399636671,ok,
